resource	kind	name	abstract	type_kind
ifcgeometricmodelresource	entity	ifccsgsolid	false	-
ifcgeometricmodelresource	entity	ifcextrudedareasolid	false	-
ifcgeometricmodelresource	entity	ifcextrudedareasolidtapered	false	-
ifcgeometricmodelresource	entity	ifcfacebasedsurfacemodel	false	-
ifcgeometricmodelresource	entity	ifcfacetedbrep	false	-
ifcgeometricmodelresource	entity	ifcfacetedbrepwithvoids	false	-
ifcgeometricmodelresource	entity	ifcfixedreferencesweptareasolid	false	-
ifcgeometricmodelresource	entity	ifcgeometriccurveset	false	-
ifcgeometricmodelresource	entity	ifcgeometricset	false	-
ifcgeometricmodelresource	type	ifcgeometricsetselect	false	select
ifcgeometricmodelresource	entity	ifchalfspacesolid	false	-
ifcgeometricmodelresource	entity	ifcindexedpolygonalface	false	-
ifcgeometricmodelresource	entity	ifcindexedpolygonalfacewithvoids	false	-
ifcgeometricmodelresource	entity	ifcmanifoldsolidbrep	true	-
ifcgeometricmodelresource	function	ifcpointlistdim	false	-
ifcgeometricmodelresource	entity	ifcpolygonalboundedhalfspace	false	-
ifcgeometricmodelresource	entity	ifcpolygonalfaceset	false	-
ifcgeometricmodelresource	entity	ifcrectangularpyramid	false	-
ifcgeometricmodelresource	entity	ifcrevolvedareasolid	false	-
ifcgeometricmodelresource	entity	ifcrevolvedareasolidtapered	false	-
ifcgeometricmodelresource	entity	ifcrightcircularcone	false	-
ifcgeometricmodelresource	entity	ifcrightcircularcylinder	false	-
ifcgeometricmodelresource	entity	ifcsectionedspine	false	-
ifcgeometricmodelresource	entity	ifcshellbasedsurfacemodel	false	-
ifcgeometricmodelresource	entity	ifcsolidmodel	true	-
ifcgeometricmodelresource	entity	ifcsphere	false	-
ifcgeometricmodelresource	entity	ifcsurfacecurvesweptareasolid	false	-
ifcgeometricmodelresource	entity	ifcsweptareasolid	true	-
ifcgeometricmodelresource	entity	ifcsweptdisksolid	false	-
ifcgeometricmodelresource	entity	ifcsweptdisksolidpolygonal	false	-
ifcgeometricmodelresource	function	ifctaperedsweptareaprofiles	false	-
ifcgeometricmodelresource	entity	ifctessellatedfaceset	true	-
ifcgeometricmodelresource	entity	ifctessellateditem	true	-
ifcgeometricmodelresource	entity	ifctriangulatedfaceset	false	-
ifcgeometricconstraintresource	entity	ifcconnectioncurvegeometry	false	-
ifcgeometricconstraintresource	entity	ifcconnectiongeometry	true	-
ifcgeometricconstraintresource	entity	ifcconnectionpointeccentricity	false	-
ifcgeometricconstraintresource	entity	ifcconnectionpointgeometry	false	-
ifcgeometricconstraintresource	entity	ifcconnectionsurfacegeometry	false	-
ifcgeometricconstraintresource	entity	ifcconnectionvolumegeometry	false	-
ifcgeometricconstraintresource	function	ifccorrectlocalplacement	false	-
ifcgeometricconstraintresource	type	ifccurveoredgecurve	false	select
ifcgeometricconstraintresource	entity	ifcgridaxis	false	-
ifcgeometricconstraintresource	entity	ifcgridplacement	false	-
ifcgeometricconstraintresource	type	ifcgridplacementdirectionselect	false	select
ifcgeometricconstraintresource	entity	ifclocalplacement	false	-
ifcgeometricconstraintresource	entity	ifcobjectplacement	true	-
ifcgeometricconstraintresource	type	ifcpointorvertexpoint	false	select
ifcgeometricconstraintresource	type	ifcsolidorshell	false	select
ifcgeometricconstraintresource	type	ifcsurfaceorfacesurface	false	select
ifcgeometricconstraintresource	entity	ifcvirtualgridintersection	false	-
